"activity" "subject" "featureAcceleration" "featureInstrument" "featureJerk" "featureMagnitude" "featureAxis" "featureVariable" "average"
"SITTING" 26 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.964196337307692
"SITTING" 26 "Body" "Gyroscope" NA NA "X" "Mean" -0.513583313635256
"SITTING" 26 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.991173068461538
"SITTING" 26 "Body" "Gyroscope" NA NA "Y" "Mean" -0.532902821832692
"SITTING" 26 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.971466501410256
"SITTING" 26 "Body" "Gyroscope" NA NA "Z" "Mean" -0.449656373275641
"SITTING" 26 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.9673540025
"SITTING" 26 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.953079994102564
"SITTING" 26 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.933602783410256
"SITTING" 26 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.782955611794872
"SITTING" 26 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.965082925641026
"SITTING" 26 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.223105562025641
"SITTING" 26 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.949286700807692
"SITTING" 26 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.314387627435897
"SITTING" 26 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.944580863846154
"SITTING" 27 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.989120223857143
"SITTING" 27 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.988866095357143
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.456467855535714
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.990975184285714
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.490283929746143
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.985590292357143
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.496600287701214
"SITTING" 27 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.989093259214286
"SITTING" 27 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.977124067785714
"SITTING" 27 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.970205985785714
"SITTING" 27 "Body" "Accelerometer" NA NA "X" "Mean" -0.357370402928571
"SITTING" 27 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.988619652071429
"SITTING" 27 "Body" "Accelerometer" NA NA "Y" "Mean" -0.49479241775
"SITTING" 27 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.971422594214286
"SITTING" 27 "Body" "Accelerometer" NA NA "Z" "Mean" -0.540093864794286
"SITTING" 27 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.964539703857143
"SITTING" 27 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.9932124875
"SITTING" 27 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.992040302928571
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.0951635808
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.993640318285714
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0396410809285714
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.992226442142857
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0503883556285714
"SITTING" 27 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.991766787571429
"SITTING" 27 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.971524147428571
"SITTING" 27 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.9706551995
"SITTING" 27 "Body" "Gyroscope" NA NA "X" "Mean" -0.512195493471429
"SITTING" 27 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.988738521785714
"SITTING" 27 "Body" "Gyroscope" NA NA "Y" "Mean" -0.531937841832143
"SITTING" 27 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.981552577714286
"SITTING" 27 "Body" "Gyroscope" NA NA "Z" "Mean" -0.446736426535
"SITTING" 27 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.976654414642857
"SITTING" 27 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.979481668857143
"SITTING" 27 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.969526674714286
"SITTING" 27 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.839464714
"SITTING" 27 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.982445738
"SITTING" 27 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.212947021371429
"SITTING" 27 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.982553336571429
"SITTING" 27 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.276417431042857
"SITTING" 27 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.967268066
"SITTING" 28 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.971226526736111
"SITTING" 28 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.97056249125
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.450012321215278
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.977036730833333
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.474110211907431
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.963104939513889
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.486340848963403
"SITTING" 28 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.977327598055556
"SITTING" 28 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.954858916319444
"SITTING" 28 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.950032063888889
"SITTING" 28 "Body" "Accelerometer" NA NA "X" "Mean" -0.351421256597222
"SITTING" 28 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.984114757708333
"SITTING" 28 "Body" "Accelerometer" NA NA "Y" "Mean" -0.48244604727125
"SITTING" 28 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.939895361597222
"SITTING" 28 "Body" "Accelerometer" NA NA "Z" "Mean" -0.531872363111111
"SITTING" 28 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.934856361597222
"SITTING" 28 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.980339514097222
"SITTING" 28 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.978418644166667
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.0953935055833333
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.982155662638889
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0408007786402778
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.980713868611111
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0579015362166667
"SITTING" 28 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.971001691388889
"SITTING" 28 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.957736546041667
"SITTING" 28 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.952300138333333
"SITTING" 28 "Body" "Gyroscope" NA NA "X" "Mean" -0.503813064702778
"SITTING" 28 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.980643562361111
"SITTING" 28 "Body" "Gyroscope" NA NA "Y" "Mean" -0.515256009333333
"SITTING" 28 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.954761761597222
"SITTING" 28 "Body" "Gyroscope" NA NA "Z" "Mean" -0.433577438826389
"SITTING" 28 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.959096919305556
"SITTING" 28 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.955789708611111
"SITTING" 28 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.947782703333333
"SITTING" 28 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.907331309166667
"SITTING" 28 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.989132499583333
"SITTING" 28 "Gravity" "Accelerometer" NA NA "Y" "Mean" -0.112596728361111
"SITTING" 28 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.971766352361111
"SITTING" 28 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.135402566816667
"SITTING" 28 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.956087679583333
"SITTING" 29 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.99040675575
"SITTING" 29 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.990177319333333
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.4594509749575
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.993872867916667
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.488948939476667
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.984774209416667
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.492651270024
"SITTING" 29 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.990307297333333
"SITTING" 29 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.975681776833333
"SITTING" 29 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.970254168166667
"SITTING" 29 "Body" "Accelerometer" NA NA "X" "Mean" -0.356956993083333
"SITTING" 29 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.99068127025
"SITTING" 29 "Body" "Accelerometer" NA NA "Y" "Mean" -0.493120091020833
"SITTING" 29 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.962458223583333
"SITTING" 29 "Body" "Accelerometer" NA NA "Z" "Mean" -0.543017425016667
"SITTING" 29 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.96693242625
"SITTING" 29 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.995227678583333
"SITTING" 29 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.994823686
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.0953636995833333
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.9933220295
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.040001843485
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.995319164666667
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.047000897695
"SITTING" 29 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.9928337675
"SITTING" 29 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.971323379
"SITTING" 29 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.971294698833333
"SITTING" 29 "Body" "Gyroscope" NA NA "X" "Mean" -0.513160340116667
"SITTING" 29 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.99045323
"SITTING" 29 "Body" "Gyroscope" NA NA "Y" "Mean" -0.532954506273333
"SITTING" 29 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.987796914166667
"SITTING" 29 "Body" "Gyroscope" NA NA "Z" "Mean" -0.457941998791667
"SITTING" 29 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.972070254416667
"SITTING" 29 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.978017021833333
"SITTING" 29 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.9692903165
"SITTING" 29 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.891563755166667
"SITTING" 29 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.984679151833333
"SITTING" 29 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.1556594569
"SITTING" 29 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.973604289833333
"SITTING" 29 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.286256063666667
"SITTING" 29 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.966032045333333
"SITTING" 30 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.986812693306452
"SITTING" 30 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.985676299516129
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.45638483163629
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.989441070967742
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.485324396009597
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.981161522419355
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.494379966801694
"SITTING" 30 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.988567796612903
"SITTING" 30 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.958705304758064
"SITTING" 30 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.943222599596774
"SITTING" 30 "Body" "Accelerometer" NA NA "X" "Mean" -0.358336351810484
"SITTING" 30 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.98342687483871
"SITTING" 30 "Body" "Accelerometer" NA NA "Y" "Mean" -0.481061677605645
"SITTING" 30 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.935924789354839
"SITTING" 30 "Body" "Accelerometer" NA NA "Z" "Mean" -0.532894768389516
"SITTING" 30 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.94842893233871
"SITTING" 30 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.99274403516129
"SITTING" 30 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.991113324758064
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.095270767516129
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.993868545483871
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0407930587264516
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.992491322903226
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0488204595806452
"SITTING" 30 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.988124495645161
"SITTING" 30 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.964861803387097
"SITTING" 30 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.960077612741935
"SITTING" 30 "Body" "Gyroscope" NA NA "X" "Mean" -0.511438637328226
"SITTING" 30 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.988308736370968
"SITTING" 30 "Body" "Gyroscope" NA NA "Y" "Mean" -0.528179720901613
"SITTING" 30 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.975141256370968
"SITTING" 30 "Body" "Gyroscope" NA NA "Z" "Mean" -0.44548842483871
"SITTING" 30 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.956180942983871
"SITTING" 30 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.957487221451613
"SITTING" 30 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.942901466612903
"SITTING" 30 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.825473836935484
"SITTING" 30 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.978364712258065
"SITTING" 30 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.114588392624871
"SITTING" 30 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.959361306774194
"SITTING" 30 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.34476602
"SITTING" 30 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.956635663064516
"STANDING" 1 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.992455134056604
"STANDING" 1 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.992816106415094
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.459627071566038
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.994839150754717
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.4887214868
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.986333479622642
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.497218707792415
"STANDING" 1 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.992300497735849
"STANDING" 1 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.984817284245283
"STANDING" 1 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.982128366792453
"STANDING" 1 "Body" "Accelerometer" NA NA "X" "Mean" -0.358166151792453
"STANDING" 1 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.995894123301887
"STANDING" 1 "Body" "Accelerometer" NA NA "Y" "Mean" -0.496604218919811
"STANDING" 1 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.972741579245283
"STANDING" 1 "Body" "Accelerometer" NA NA "Z" "Mean" -0.547949458207547
"STANDING" 1 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.978856568301887
"STANDING" 1 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.994891083773585
"STANDING" 1 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.994702180943396
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.0996092129056604
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.992945106981132
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0440627877924528
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.995137917358491
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0489505466716981
"STANDING" 1 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.992108467169811
"STANDING" 1 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.980555708113208
"STANDING" 1 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.978578050377358
"STANDING" 1 "Body" "Gyroscope" NA NA "X" "Mean" -0.50518726041783
"STANDING" 1 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.987344537641509
"STANDING" 1 "Body" "Gyroscope" NA NA "Y" "Mean" -0.524190838415094
"STANDING" 1 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.987421083867924
"STANDING" 1 "Body" "Gyroscope" NA NA "Z" "Mean" -0.452986185915094
"STANDING" 1 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.981495478490566
"STANDING" 1 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.984278207358491
"STANDING" 1 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.981942928867925
"STANDING" 1 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.942952000377358
"STANDING" 1 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.99376298509434
"STANDING" 1 "Gravity" "Accelerometer" NA NA "Y" "Mean" -0.272983832264151
"STANDING" 1 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.981225957924528
"STANDING" 1 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.0134905823226415
"STANDING" 1 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.976324063584906
"STANDING" 2 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.978777186481481
"STANDING" 2 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.975917870092593
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.453107190953704
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.98204681962963
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.480261080241759
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.97228984037037
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.49407337025213
"STANDING" 2 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.983720675833333
"STANDING" 2 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.964963673888889
"STANDING" 2 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.959197173240741
"STANDING" 2 "Body" "Accelerometer" NA NA "X" "Mean" -0.353017633796296
"STANDING" 2 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.988164179537037
"STANDING" 2 "Body" "Accelerometer" NA NA "Y" "Mean" -0.489146262212037
"STANDING" 2 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.957606915740741
"STANDING" 2 "Body" "Accelerometer" NA NA "Z" "Mean" -0.534189865898148
"STANDING" 2 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.948087717407407
"STANDING" 2 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.980900865833333
"STANDING" 2 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.977479362962963
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.105562157888889
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.979324000740741
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.042241953537037
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.983447258518519
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0546539479425926
"STANDING" 2 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.973610118333333
"STANDING" 2 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.962621123333333
"STANDING" 2 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.955366053055556
"STANDING" 2 "Body" "Gyroscope" NA NA "X" "Mean" -0.495449749804167
"STANDING" 2 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.973993377222222
"STANDING" 2 "Body" "Gyroscope" NA NA "Y" "Mean" -0.527307905361111
"STANDING" 2 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.971239023425926
"STANDING" 2 "Body" "Gyroscope" NA NA "Z" "Mean" -0.436396263281482
"STANDING" 2 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.967305498796296
"STANDING" 2 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.965875181296296
"STANDING" 2 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.957874965
"STANDING" 2 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.896928566851852
"STANDING" 2 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.986685818703704
"STANDING" 2 "Gravity" "Accelerometer" NA NA "Y" "Mean" -0.370062696851852
"STANDING" 2 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.97419442037037
"STANDING" 2 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.129747161222222
"STANDING" 2 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.945927078703704
"STANDING" 3 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.953965654016393
"STANDING" 3 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.948488428852459
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.441288397246803
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.958828705573771
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.467890668580328
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.94281766647541
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.488623341391885
"STANDING" 3 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.974327792213115
"STANDING" 3 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.926199875655738
"STANDING" 3 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.918489690081967
"STANDING" 3 "Body" "Accelerometer" NA NA "X" "Mean" -0.340038448114754
"STANDING" 3 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.968336915163934
"STANDING" 3 "Body" "Accelerometer" NA NA "Y" "Mean" -0.461206504638525
"STANDING" 3 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.892941827868852
"STANDING" 3 "Body" "Accelerometer" NA NA "Z" "Mean" -0.520564728939525
"STANDING" 3 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.908110134836066
"STANDING" 3 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.961335528770492
"STANDING" 3 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.957400638688525
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.0994602620655738
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.940937642459016
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0472415819016393
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.968433747868853
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0416832156688525
"STANDING" 3 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.958293011803279
"STANDING" 3 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.902885855983607
"STANDING" 3 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.882782469754098
"STANDING" 3 "Body" "Gyroscope" NA NA "X" "Mean" -0.462972437309016
"STANDING" 3 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.90122395
"STANDING" 3 "Body" "Gyroscope" NA NA "Y" "Mean" -0.498110674519672
"STANDING" 3 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.925457279672131
"STANDING" 3 "Body" "Gyroscope" NA NA "Z" "Mean" -0.424823166147541
"STANDING" 3 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.916053963770492
"STANDING" 3 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.925430819016393
"STANDING" 3 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.915143303606557
"STANDING" 3 "Gravity" "Accelerometer" NA NA "X" "Mean" 0.93503077852459
"STANDING" 3 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.982020428032787
"STANDING" 3 "Gravity" "Accelerometer" NA NA "Y" "Mean" -0.301735130327869
